organismo_sigla,denominacion_social,total,empresa,prop
Presidencia,"Otros
42.41%",65283.9,Otros,42.41
Presidencia,"ASOCIACION CIVIL EL ABROJO INSTITUTO DE EDUCACION
11.84%",18230.6,ASOCIACION CIVIL EL ABROJO INSTITUTO DE EDUCACION,11.84
Presidencia,"FUNDACION A GANAR
19.83%",30521,FUNDACION A GANAR,19.83
Presidencia,"GOFINAL S A
5.08%",7818.2,GOFINAL S A,5.08
Presidencia,"NEDORIL S A
10.08%",15516.6,NEDORIL S A,10.08
Presidencia,"TAYM URUGUAY SOCIEDAD ANÓNIMA
10.76%",16562.2,TAYM URUGUAY SOCIEDAD ANÓNIMA,10.76
