"familia","cod_familia","sub_familia","cod_sub_familia"
"BIENES DE TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION",10,"INFRAESTRUCTURA TECNOLOGICA",43
"CONSTRUCCIONES, MEJORAS Y REPARACIONES EXTRAORDINARIAS",6,"EDIFICACIONES",2
"CONSTRUCCIONES, MEJORAS Y REPARACIONES EXTRAORDINARIAS",6,"INSTALACION DE SERVICIOS LOCALES",9
"CONSTRUCCIONES, MEJORAS Y REPARACIONES EXTRAORDINARIAS",6,"INSTALACIONES DE TRASMISION Y DISTRIBUCION",5
"CONSTRUCCIONES, MEJORAS Y REPARACIONES EXTRAORDINARIAS",6,"MEJORAS DE TIERRAS Y PLANTACIONES",6
"CONSTRUCCIONES, MEJORAS Y REPARACIONES EXTRAORDINARIAS",6,"OBRAS HIDRAULICAS, HIDROELECTRICAS, ELECTRICAS Y SANITARIAS",3
"CONSTRUCCIONES, MEJORAS Y REPARACIONES EXTRAORDINARIAS",6,"OBRAS URBANISTICAS",4
"CONSTRUCCIONES, MEJORAS Y REPARACIONES EXTRAORDINARIAS",6,"REPARACIONES MAYORES Y EXTRAORDINARIAS",8
"CONSTRUCCIONES, MEJORAS Y REPARACIONES EXTRAORDINARIAS",6,"VIAS DE COMUNICACION",1
"MAQUINAS, EQUIPOS Y MOBILIARIOS NUEVOS",4,"EQUIPOS DE COMUNICACIONES EXCEPTO TELEFONIA",6
"MAQUINAS, EQUIPOS Y MOBILIARIOS NUEVOS",4,"EQUIPOS DE TRANSPORTE",5
"MAQUINAS, EQUIPOS Y MOBILIARIOS NUEVOS",4,"EQUIPOS EDUCACIONALES, CULTURALES Y RECREATIVOS",4
"MAQUINAS, EQUIPOS Y MOBILIARIOS NUEVOS",4,"EQUIPOS MEDICOS, SANITARIOS, ODONTOLOGICOS Y CIENTIFICOS",3
"MAQUINAS, EQUIPOS Y MOBILIARIOS NUEVOS",4,"MAQUINARIAS Y EQUIPOS DE PRODUCCION",1
"MAQUINAS, EQUIPOS Y MOBILIARIOS NUEVOS",4,"MAQUINAS Y EQUIPOS DE OFICINA Y SIMILARES",2
"MAQUINAS, EQUIPOS Y MOBILIARIOS NUEVOS",4,"MOBILIARIO",8
"MAQUINAS, EQUIPOS Y MOBILIARIOS NUEVOS",4,"MOTORES Y PARTES PARA REEMPLAZO",7
"MAQUINAS, EQUIPOS Y MOBILIARIOS NUEVOS",4,"OTRAS MAQUINAS, EQUIPOS Y MOBILIARIOS NUEVOS",9
"MATERIALES Y SUMINISTROS",2,"ALIMENTOS Y PRODUCTOS AGROPECUARIOS, FORESTALES Y MARITIMOS",1
"MATERIALES Y SUMINISTROS",2,"MINERALES",2
"MATERIALES Y SUMINISTROS",2,"OTROS MATERIALES Y SUMINISTROS",9
"MATERIALES Y SUMINISTROS",2,"PROD. QUIM. Y CONEXOS-MEDICAMENTOS Y ANTISEPTICOS USO HUMANO",13
"MATERIALES Y SUMINISTROS",2,"PROD. QUIMICOS Y CONEXOS EXCEPTO MEDIC.Y ANTISEP. USO HUMANO",6
"MATERIALES Y SUMINISTROS",2,"PRODUCTOS DE PAPEL, LIBROS, DOCUMENTOS  IMPRESOS Y DIGITALES",4
"MATERIALES Y SUMINISTROS",2,"PRODUCTOS DE USO MARINO",10
"MATERIALES Y SUMINISTROS",2,"PRODUCTOS ENERGETICOS",5
"MATERIALES Y SUMINISTROS",2,"PRODUCTOS METALICOS",8
"MATERIALES Y SUMINISTROS",2,"PRODUCTOS MINERALES NO METALICOS Y DE MADERA",7
"MATERIALES Y SUMINISTROS",2,"PRODUCTOS TEXTILES, DE VESTIR Y CUERO",3
"MATERIALES Y SUMINISTROS",2,"REPUESTOS Y ACCESORIOS",12
"SERVICIOS NO PERSONALES",3,"ARRENDAMIENTOS",5
"SERVICIOS NO PERSONALES",3,"OTROS SERVICIOS CONTRATADOS",9
"SERVICIOS NO PERSONALES",3,"PASAJES, VIATICOS Y OTROS GASTOS DE TRASLADO",3
"SERVICIOS NO PERSONALES",3,"PUBLICIDAD, IMPRESIONES Y ENCUADERNACIONES",2
"SERVICIOS NO PERSONALES",3,"SERVICIOS BASICOS",1
"SERVICIOS NO PERSONALES",3,"SERVICIOS CONTRATADOS PARA MANTENIM.Y REPARACIONES MENORES",7
"SERVICIOS NO PERSONALES",3,"SERVICIOS DE TECNOLOGIAS DE LA INFORMACION Y COMUNICACION",10
"SERVICIOS NO PERSONALES",3,"SERVICIOS PROFESIONALES CONTRATADOS",8
"SERVICIOS NO PERSONALES",3,"TRANSPORTE Y ALMACENAJE",4
"SERVICIOS NO PERSONALES",3,"TRIBUTOS, MULTAS, RECARGOS, SEGUROS Y COMISIONES",6
"TIERRAS, EDIFICIOS Y OTROS BIENES DE USO",5,"EDIFICIOS",2
"TIERRAS, EDIFICIOS Y OTROS BIENES DE USO",5,"OTRAS TIERRAS, EDIFICIOS Y OTROS BIENES DE USO",6
"TIERRAS, EDIFICIOS Y OTROS BIENES DE USO",5,"SEMOVIENTES",4
"TIERRAS, EDIFICIOS Y OTROS BIENES DE USO",5,"TIERRAS",1
